         1      -0.670020138243320E+02       0.184462428395062E+02
      -0.671032760000000E+02       0.185134260000000E+02
      -0.671033941150209E+02       0.185145326572125E+02
      -0.671033941150209E+02       0.185145326572125E+02
      -0.670937520000000E+02       0.185157570000000E+02
      -0.670796988260799E+02       0.185133267007347E+02
      -0.670792900000000E+02       0.185132560000000E+02
      -0.670529760696644E+02       0.185120730458335E+02
      -0.670379403245872E+02       0.185113971073835E+02
      -0.670235835957273E+02       0.185107516944024E+02
      -0.670235678877287E+02       0.185107509882425E+02
      -0.670202760000000E+02       0.185106030000000E+02
      -0.670195769846111E+02       0.185103155416951E+02
      -0.669889580000000E+02       0.184977240000000E+02
      -0.669812179641493E+02       0.184956596747133E+02
      -0.669595400000000E+02       0.184898780000000E+02
      -0.669577330000000E+02       0.184891290000000E+02
      -0.669573315908197E+02       0.184892075838847E+02
      -0.669573315908197E+02       0.184892075838847E+02
      -0.669577270000000E+02       0.184871800000000E+02
      -0.669556880000000E+02       0.184844430000000E+02
      -0.669540460000000E+02       0.184832500000000E+02
      -0.669505270000000E+02       0.184834070000000E+02
      -0.669530240000000E+02       0.184795660000000E+02
      -0.669526680000000E+02       0.184767180000000E+02
      -0.669556220000000E+02       0.184767140000000E+02
      -0.669594720000000E+02       0.184733430000000E+02
      -0.669609260000000E+02       0.184722900000000E+02
      -0.669626950000000E+02       0.184734470000000E+02
      -0.669617980000000E+02       0.184713360000000E+02
      -0.669598410000000E+02       0.184701830000000E+02
      -0.669590720000000E+02       0.184655130000000E+02
      -0.669629640000000E+02       0.184612430000000E+02
      -0.669635620000000E+02       0.184584220000000E+02
      -0.669635620000000E+02       0.184584220000000E+02
      -0.669650910000000E+02       0.184553940000000E+02
      -0.669650910000000E+02       0.184553940000000E+02
      -0.669677020000000E+02       0.184555100000000E+02
      -0.669684280000000E+02       0.184546590000000E+02
      -0.669683240000000E+02       0.184533530000000E+02
      -0.669669870000000E+02       0.184501750000000E+02
      -0.669635660000000E+02       0.184502130000000E+02
      -0.669625870000000E+02       0.184479300000000E+02
      -0.669610410000000E+02       0.184465720000000E+02
      -0.669583730000000E+02       0.184406940000000E+02
      -0.669518710000000E+02       0.184372980000000E+02
      -0.669500740000000E+02       0.184376600000000E+02
      -0.669463760000000E+02       0.184345820000000E+02
